x,AM0,AM0C,AM15,AM15C,
785,1.19E+00,853.1653679,1.06E+00,524.5915316,\\
786,1.19E+00,854.3553679,1.07E+00,525.6615316,\\
787,1.19E+00,855.5453679,1.05E+00,526.7115316,\\
788,1.18E+00,856.7253679,1.04E+00,527.7515316,\\
789,1.18E+00,857.9053679,1.04E+00,528.7915316,\\
790,1.17E+00,859.0753679,1.00E+00,529.7915316,\\
791,1.16E+00,860.2353679,1.02E+00,530.8115316,\\
792,1.15E+00,861.3853679,1.01E+00,531.8215316,\\
793,1.14E+00,862.5253679,1.00E+00,532.8215316,\\
794,1.13E+00,863.6553679,1.01E+00,533.8315316,\\
795,1.13E+00,864.7853679,1.01E+00,534.8415316,\\
796,1.14E+00,865.9253679,9.90E-01,535.8315316,\\
797,1.16E+00,867.0853679,1.01E+00,536.8415316,\\
798,1.15E+00,868.2353679,1.02E+00,537.8615316,\\
799,1.14E+00,869.3753679,1.00E+00,538.8615316,\\
800,1.12E+00,870.4953679,9.89E-01,539.8505316,\\
801,1.14E+00,871.6353679,1.00E+00,540.8505316,\\
802,1.14E+00,872.7753679,1.00E+00,541.8505316,\\
803,1.12E+00,873.8953679,9.83E-01,542.8335316,\\
804,1.13E+00,875.0253679,9.95E-01,543.8285316,\\
805,1.10E+00,876.1253679,9.73E-01,544.8015316,\\
806,1.13E+00,877.2553679,1.01E+00,545.8115316,\\
807,1.12E+00,878.3753679,1.00E+00,546.8115316,\\
808,1.12E+00,879.4953679,9.98E-01,547.8095316,\\
809,1.10E+00,880.5953679,9.74E-01,548.7835316,\\
810,1.11E+00,881.7053679,9.75E-01,549.7585316,\\
811,1.11E+00,882.8153679,9.73E-01,550.7315316,\\
812,1.12E+00,883.9353679,9.49E-01,551.6805316,\\
813,1.12E+00,885.0553679,9.32E-01,552.6125316,\\
814,1.12E+00,886.1753679,8.37E-01,553.4495316,\\
815,1.11E+00,887.2853679,8.29E-01,554.2785316,\\
816,1.11E+00,888.3953679,7.72E-01,555.0505316,\\
817,1.11E+00,889.5053679,7.90E-01,555.8405316,\\
818,1.09E+00,890.5953679,7.63E-01,556.6035316,\\
819,1.07E+00,891.6653679,8.38E-01,557.4415316,\\
820,1.07E+00,892.7353679,7.99E-01,558.2405316,\\
821,1.08E+00,893.8153679,9.23E-01,559.1635316,\\
822,1.06E+00,894.8753679,8.81E-01,560.0445316,\\
823,1.08E+00,895.9553679,6.26E-01,560.6705316,\\
824,1.07E+00,897.0253679,8.66E-01,561.5365316,\\
825,1.07E+00,898.0953679,8.98E-01,562.4345316,\\
826,1.08E+00,899.1753679,8.65E-01,563.2995316,\\
827,1.08E+00,900.2553679,9.12E-01,564.2115316,\\
828,1.07E+00,901.3253679,7.89E-01,565.0005316,\\
829,1.06E+00,902.3853679,8.61E-01,565.8615316,\\
830,1.06E+00,903.4453679,8.49E-01,566.7105316,\\
831,1.06E+00,904.5053679,8.57E-01,567.5675316,\\
832,1.06E+00,905.5653679,8.30E-01,568.3975316,\\
833,1.03E+00,906.5953679,8.86E-01,569.2835316,\\
834,1.05E+00,907.6453679,8.66E-01,570.1495316,\\
835,1.05E+00,908.6953679,9.29E-01,571.0785316,\\
836,1.06E+00,909.7553679,9.01E-01,571.9795316,\\
837,1.05E+00,910.8053679,9.35E-01,572.9145316,\\
838,1.05E+00,911.8553679,9.26E-01,573.8405316,\\
839,1.04E+00,912.8953679,9.28E-01,574.7685316,\\
840,1.05E+00,913.9453679,9.41E-01,575.7095316,\\
841,1.05E+00,914.9953679,9.36E-01,576.6455316,\\
842,1.03E+00,916.0253679,9.24E-01,577.5695316,\\
843,1.03E+00,917.0553679,9.32E-01,578.5015316,\\
844,1.01E+00,918.0653679,9.14E-01,579.4155316,\\
845,1.04E+00,919.1053679,9.42E-01,580.3575316,\\
846,1.04E+00,920.1453679,9.44E-01,581.3015316,\\
847,1.01E+00,921.1553679,9.19E-01,582.2205316,\\
848,1.01E+00,922.1653679,9.20E-01,583.1405316,\\
849,1.01E+00,923.1753679,9.14E-01,584.0545316,\\
850,9.10E-01,924.0853679,8.29E-01,584.8835316,\\
851,9.98E-01,925.0833679,9.05E-01,585.7885316,\\
852,9.90E-01,926.0733679,8.99E-01,586.6875316,\\
853,9.81E-01,927.0543679,8.95E-01,587.5825316,\\
854,8.69E-01,927.9233679,7.90E-01,588.3725316,\\
855,9.27E-01,928.8503679,8.47E-01,589.2195316,\\
856,9.90E-01,929.8403679,9.03E-01,590.1225316,\\
857,1.01E+00,930.8503679,9.21E-01,591.0435316,\\
858,1.01E+00,931.8603679,9.21E-01,591.9645316,\\
859,1.01E+00,932.8703679,9.21E-01,592.8855316,\\
860,1.00E+00,933.8703679,9.18E-01,593.8035316,\\
861,9.99E-01,934.8693679,9.16E-01,594.7195316,\\
