x,y
0.1,0.014449358
0.11,0.097802592
0.121,0.532766821
0.1331,2.382226464
0.14641,8.901898215
0.161051,28.25673337
0.1771561,77.32909833
0.19487171,184.9277375
0.214358881,391.2224808
0.235794769,740.371671
0.259374246,1266.146402
0.285311671,1974.851363
0.313842838,2833.042901
0.345227121,3766.800746
0.379749834,4674.556732
0.417724817,5449.422066
0.459497299,6003.032592
0.505447028,6282.994216
0.555991731,6279.425642
0.611590904,6020.637131
0.672749995,5561.436737
0.740024994,4968.83711
0.814027494,4309.247374
0.895430243,3639.508564
0.984973268,3002.343238
1.083470594,2425.539103
1.191817654,1923.625647
1.310999419,1500.788108
1.442099361,1154.048379
1.586309297,876.1126151
1.744940227,657.6092392
1.91943425,488.6668005
2.111377675,359.9085061
2.322515442,262.9925107
2.554766986,190.8321921
2.810243685,137.6117846
3.091268053,98.68554677
3.400394859,70.42196618
3.740434344,50.03237593
4.114477779,35.40683404
4.525925557,24.96875832
4.978518112,17.55257478
5.476369924,12.30440867
6.024006916,8.603650534
6.626407608,6.002317613
7.289048369,4.178969381
8.017953205,2.904172476
8.819748526,2.014921238
9.701723378,1.39587724
