P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
350,5.0281,58.64,78.112,97.584,117.056,136.528,156,175.472,194.944,214.416,233.888,253.36,0.22888,0.29887,0.36886,0.43885,0.50884,0.57883,0.64882,0.71881,0.7888,0.85879,0.92878
360,5.8412,59.75,79.157,98.564,117.971,137.378,156.785,176.192,195.599,215.006,234.413,253.82,0.23278,0.30234,0.3719,0.44146,0.51102,0.58058,0.65014,0.7197,0.78926,0.85882,0.92838
370,6.6372,60.83,80.174,99.518,118.862,138.206,157.55,176.894,196.238,215.582,234.926,254.27,0.23668,0.30582,0.37496,0.4441,0.51324,0.58238,0.65152,0.72066,0.7898,0.85894,0.92808
380,7.417,61.89,81.173,100.456,119.739,139.022,158.305,177.588,196.871,216.154,235.437,254.72,0.24038,0.30911,0.37784,0.44657,0.5153,0.58403,0.65276,0.72149,0.79022,0.85895,0.92768
390,8.1812,62.94,82.161,101.382,120.603,139.824,159.045,178.266,197.487,216.708,235.929,255.15,0.24408,0.3124,0.38072,0.44904,0.51736,0.58568,0.654,0.72232,0.79064,0.85896,0.92728
400,8.9306,63.96,83.121,102.282,121.443,140.604,159.765,178.926,198.087,217.248,236.409,255.57,0.24768,0.31561,0.38354,0.45147,0.5194,0.58733,0.65526,0.72319,0.79112,0.85905,0.92698
410,9.6658,64.97,84.071,103.172,122.273,141.374,160.475,179.576,198.677,217.778,236.879,255.98,0.25128,0.31882,0.38636,0.4539,0.52144,0.58898,0.65652,0.72406,0.7916,0.85914,0.92668
420,10.388,65.96,85.002,104.044,123.086,142.128,161.17,180.212,199.254,218.296,237.338,256.38,0.25468,0.32184,0.389,0.45616,0.52332,0.59048,0.65764,0.7248,0.79196,0.85912,0.92628
430,11.096,66.93,85.915,104.9,123.885,142.87,161.855,180.84,199.825,218.81,237.795,256.78,0.25808,0.32487,0.39166,0.45845,0.52524,0.59203,0.65882,0.72561,0.7924,0.85919,0.92598
440,11.792,67.89,86.817,105.744,124.671,143.598,162.525,181.452,200.379,219.306,238.233,257.16,0.26148,0.3279,0.39432,0.46074,0.52716,0.59358,0.66,0.72642,0.79284,0.85926,0.92568
