P,T,hf,hfg9010,hfg8020,hfg7030,hfg6040,hfg5050,hfg4060,hfg3070,hfg2080,hfg1090,hg,sf,sfg9010,sfg8020,sfg7030,sfg6040,sfg5050,sfg4060,sfg3070,sfg2080,sfg1090,sg
13500,333.81,1551.2,1661.16,1771.12,1881.08,1991.04,2101,2210.96,2320.92,2430.88,2540.84,2650.8,3.592,3.7732,3.9544,4.1356,4.3168,4.498,4.6792,4.8604,5.0416,5.2228,5.404
14000,336.67,1570.9,1677.62,1784.34,1891.06,1997.78,2104.5,2211.22,2317.94,2424.66,2531.38,2638.1,3.623,3.798,3.973,4.148,4.323,4.498,4.673,4.848,5.023,5.198,5.373
14500,339.45,1590.5,1693.93,1797.36,1900.79,2004.22,2107.65,2211.08,2314.51,2417.94,2521.37,2624.8,3.654,3.8228,3.9916,4.1604,4.3292,4.498,4.6668,4.8356,5.0044,5.1732,5.342
15000,342.16,1610.2,1710.27,1810.34,1910.41,2010.48,2110.55,2210.62,2310.69,2410.76,2510.83,2610.9,3.684,3.8467,4.0094,4.1721,4.3348,4.4975,4.6602,4.8229,4.9856,5.1483,5.311
15500,344.79,1629.9,1726.53,1823.16,1919.79,2016.42,2113.05,2209.68,2306.31,2402.94,2499.57,2596.2,3.715,3.8714,4.0278,4.1842,4.3406,4.497,4.6534,4.8098,4.9662,5.1226,5.279
16000,347.36,1649.7,1742.81,1835.92,1929.03,2022.14,2115.25,2208.36,2301.47,2394.58,2487.69,2580.8,3.746,3.896,4.046,4.196,4.346,4.496,4.646,4.796,4.946,5.096,5.246
16500,349.86,1669.7,1759.19,1848.68,1938.17,2027.66,2117.15,2206.64,2296.13,2385.62,2475.11,2564.6,3.776,3.9197,4.0634,4.2071,4.3508,4.4945,4.6382,4.7819,4.9256,5.0693,5.213
17000,352.29,1690.3,1776.04,1861.78,1947.52,2033.26,2119,2204.74,2290.48,2376.22,2461.96,2547.7,3.808,3.9451,4.0822,4.2193,4.3564,4.4935,4.6306,4.7677,4.9048,5.0419,5.179
17500,354.67,1711,1792.85,1874.7,1956.55,2038.4,2120.25,2202.1,2283.95,2365.8,2447.65,2529.5,3.84,3.9703,4.1006,4.2309,4.3612,4.4915,4.6218,4.7521,4.8824,5.0127,5.143
18000,356.99,1732.2,1809.98,1887.76,1965.54,2043.32,2121.1,2198.88,2276.66,2354.44,2432.22,2510,3.872,3.9954,4.1188,4.2422,4.3656,4.489,4.6124,4.7358,4.8592,4.9826,5.106
18500,359.26,1754.1,1827.58,1901.06,1974.54,2048.02,2121.5,2194.98,2268.46,2341.94,2415.42,2488.9,3.905,4.0212,4.1374,4.2536,4.3698,4.486,4.6022,4.7184,4.8346,4.9508,5.067
19000,361.47,1777,1845.89,1914.78,1983.67,2052.56,2121.45,2190.34,2259.23,2328.12,2397.01,2465.9,3.94,4.0485,4.157,4.2655,4.374,4.4825,4.591,4.6995,4.808,4.9165,5.025
19500,363.63,1801,1864.95,1928.9,1992.85,2056.8,2120.75,2184.7,2248.65,2312.6,2376.55,2440.5,3.976,4.0764,4.1768,4.2772,4.3776,4.478,4.5784,4.6788,4.7792,4.8796,4.98
20000,365.75,1826.9,1885.39,1943.88,2002.37,2060.86,2119.35,2177.84,2236.33,2294.82,2353.31,2411.8,4.015,4.1066,4.1982,4.2898,4.3814,4.473,4.5646,4.6562,4.7478,4.8394,4.931
20500,367.81,1855.4,1907.73,1960.06,2012.39,2064.72,2117.05,2169.38,2221.71,2274.04,2326.37,2378.7,4.058,4.1396,4.2212,4.3028,4.3844,4.466,4.5476,4.6292,4.7108,4.7924,4.874
21000,369.83,1888.3,1933.3,1978.3,2023.3,2068.3,2113.3,2158.3,2203.3,2248.3,2293.3,2338.3,4.108,4.1779,4.2478,4.3177,4.3876,4.4575,4.5274,4.5973,4.6672,4.7371,4.807
21500,371.8,1930.4,1965.76,2001.12,2036.48,2071.84,2107.2,2142.56,2177.92,2213.28,2248.64,2284,4.171,4.2258,4.2806,4.3354,4.3902,4.445,4.4998,4.5546,4.6094,4.6642,4.719
22000,373.71,2012.9,2029.08,2045.26,2061.44,2077.62,2093.8,2109.98,2126.16,2142.34,2158.52,2174.7,4.297,4.322,4.347,4.372,4.397,4.422,4.447,4.472,4.497,4.522,4.547
22000,373.71,2012.9,,,,,,,,,,,4.297,,,,,,,,,,
22000,373.71,2174.7,,,,,,,,,,,4.547,,,,,,,,,,
