s,T
1.2931,111.36
1.2909,110.3
1.2887,109.22
1.2864,108.12
1.2841,107
1.2818,105.86
1.2794,104.7
1.2769,103.52
1.2744,102.32
1.2719,101.09
1.2693,99.83
1.2667,98.55
1.264,97.23
1.2613,95.89
1.2585,94.52
1.2556,93.11
1.2527,91.67
1.2497,90.19
1.2467,88.67
1.2436,87.11
1.2404,85.5
1.2371,83.84
1.2337,82.13
1.2303,80.36
1.2268,78.53
1.2231,76.64
1.2194,74.67
1.2155,72.62
1.2116,70.48
1.2075,68.25
1.2033,65.9
1.1989,63.44
1.1943,60.84
1.1896,58.08
1.1847,55.14
1.1796,51.98
1.1743,48.58
1.1687,44.87
1.1628,40.78
1.1566,36.21
1.1501,31.01
1.1432,24.92
1.1361,17.5
1.1292,7.79
1.1245,-6.99
1.1875,-57.53
