days,T,bt15_5,bt18_5
0,7.9,15.5,18.5
1,8.05,15.5,18.5
2,8.3,15.5,18.5
3,8.75,15.5,18.5
4,9.066666667,15.5,18.5
5,11.06666667,15.5,18.5
6,11.7,15.5,18.5
7,12.1,15.5,18.5
8,12.35,15.5,18.5
9,11.21666667,15.5,18.5
10,11.16666667,15.5,18.5
11,10.5,15.5,18.5
12,9.916666667,15.5,18.5
