days,T,bt15_5,bt18_5
7.166666667,9.966666667,15.5,18.5
7.208333333,10.28333333,15.5,18.5
7.25,11.35,15.5,18.5
7.291666667,11.96666667,15.5,18.5
7.333333333,11.78333333,15.5,18.5
7.375,11.65,15.5,18.5
7.416666667,11.63333333,15.5,18.5
7.458333333,11.08333333,15.5,18.5
7.5,9.366666667,15.5,18.5
7.541666667,8.3,15.5,18.5
7.583333333,7.75,15.5,18.5
7.625,7.733333333,15.5,18.5
7.666666667,7.9,15.5,18.5
7.708333333,8.166666667,15.5,18.5
7.75,8.05,15.5,18.5
7.791666667,7.566666667,15.5,18.5
7.833333333,7.1,15.5,18.5
7.875,6.616666667,15.5,18.5
7.916666667,6.483333333,15.5,18.5
7.958333333,6.033333333,15.5,18.5
8,6.116666667,15.5,18.5
8.041666667,5.333333333,15.5,18.5
8.083333333,4.95,15.5,18.5
8.125,5.366666667,15.5,18.5
8.166666667,8.216666667,15.5,18.5
8.208333333,5.916666667,15.5,18.5
8.25,9.6,15.5,18.5
8.291666667,8.666666667,15.5,18.5
8.333333333,7.35,15.5,18.5
8.375,9.066666667,15.5,18.5
8.416666667,8.633333333,15.5,18.5
8.458333333,8.083333333,15.5,18.5
8.5,7.116666667,15.5,18.5
8.541666667,6.583333333,15.5,18.5
8.583333333,5.533333333,15.5,18.5
8.625,4.183333333,15.5,18.5
8.666666667,4.233333333,15.5,18.5
8.708333333,4.816666667,15.5,18.5
8.75,4.616666667,15.5,18.5
8.791666667,4.15,15.5,18.5
8.833333333,3.416666667,15.5,18.5
8.875,3.8,15.5,18.5
8.916666667,3.866666667,15.5,18.5
8.958333333,3.85,15.5,18.5
9,4.466666667,15.5,18.5
9.041666667,4.983333333,15.5,18.5
9.083333333,5.266666667,15.5,18.5
9.125,5.766666667,15.5,18.5
9.166666667,6.7,15.5,18.5
9.208333333,6.75,15.5,18.5
9.25,6.966666667,15.5,18.5
9.291666667,11.43333333,15.5,18.5
9.333333333,12.45,15.5,18.5
9.375,12.78333333,15.5,18.5
9.416666667,10.63333333,15.5,18.5
9.458333333,9.633333333,15.5,18.5
9.5,8.883333333,15.5,18.5
9.541666667,7.916666667,15.5,18.5
9.583333333,7,15.5,18.5
9.625,6.233333333,15.5,18.5
9.666666667,5.75,15.5,18.5
9.708333333,5.766666667,15.5,18.5
9.75,5.35,15.5,18.5
9.791666667,5.383333333,15.5,18.5
9.833333333,5.066666667,15.5,18.5
9.875,5.4,15.5,18.5
9.916666667,5.233333333,15.5,18.5
9.958333333,4.833333333,15.5,18.5
10,4.483333333,15.5,18.5
10.04166667,4.983333333,15.5,18.5
10.08333333,5.133333333,15.5,18.5
10.125,6.033333333,15.5,18.5
10.16666667,7.2,15.5,18.5
10.20833333,9.366666667,15.5,18.5
10.25,10.3,15.5,18.5
10.29166667,10.25,15.5,18.5
10.33333333,10.41666667,15.5,18.5
10.375,9.483333333,15.5,18.5
10.41666667,9.05,15.5,18.5
10.45833333,9.016666667,15.5,18.5
10.5,9.516666667,15.5,18.5
10.54166667,9.433333333,15.5,18.5
10.58333333,9.45,15.5,18.5
10.625,8.566666667,15.5,18.5
10.66666667,7.8,15.5,18.5
10.70833333,8.35,15.5,18.5
10.75,8.683333333,15.5,18.5
10.79166667,8.833333333,15.5,18.5
10.83333333,8.883333333,15.5,18.5
10.875,8.7,15.5,18.5
10.91666667,8.983333333,15.5,18.5
10.95833333,8.466666667,15.5,18.5
11,8.15,15.5,18.5
11.04166667,8.216666667,15.5,18.5
11.08333333,7.733333333,15.5,18.5
11.125,7.2,15.5,18.5
11.16666667,8,15.5,18.5
11.20833333,8.866666667,15.5,18.5
11.25,9.8,15.5,18.5
11.29166667,10.06666667,15.5,18.5
11.33333333,10.7,15.5,18.5
11.375,11.33333333,15.5,18.5
11.41666667,11.86666667,15.5,18.5
11.45833333,11.11666667,15.5,18.5
11.5,11.18333333,15.5,18.5
11.54166667,11.03333333,15.5,18.5
11.58333333,10.86666667,15.5,18.5
